WBS,Lot ID,Factory,BU,Dpmt,Total_Lots,3300_EUV,3400_EUV,Year,JPN_YTD,Month
BU,AX201800,FEB,FID,FID,325,0,40.17,12/1/2018,FY56,12/1/2018
BU,AX811657,FRD,ES,PE2,4,0,0,1/1/2019,FY56,1/1/2019
BU,AX811660,FRD,ES,PE1,1,0,0,1/1/2019,FY56,1/1/2019
BU,AX200018,FRD,ES,APD,11,0,1.19,1/1/2022,FY59,1/1/2022
FRD,AX225088,ISP,ISP,FEB,7,0,0,9/1/2022,FY60,9/1/2022
BU,AX900753,FEB,FID,FEB,4,0,0,1/1/2019,FY56,1/1/2019
FRD,AX223733,ISP,ISP,FEB,7,0,0,9/1/2022,FY60,9/1/2022
BU,AX900861,FKL,CT,PT,5,0,0,1/1/2019,FY56,1/1/2019
FRD,AX227269,ISP,ISP,FEB,8.36,0,0,10/1/2022,FY60,10/1/2022
FRD,AX230378,ISP,ISP,FEB,8.36,0,0,11/1/2022,FY60,11/1/2022
BU,AX900919,FKL,CT,PT,3,0,0,1/1/2019,FY56,1/1/2019
BU,AX201901,FKL,CT,PT,0,11.03,0,1/1/2019,FY56,1/1/2019
FRD,AX225088,ISP,ISP,FEB,4,0,0,12/1/2022,FY60,12/1/2022
BU,AX911741,FRD,ES,PE2,35,0,0,1/1/2019,FY56,1/1/2019
BU,AX811659,FRD,ES,PE2,3,0,0,1/1/2019,FY56,1/1/2019
BU,AX811705,FKL,CT,PT,5,3.71,0,1/1/2019,FY56,1/1/2019
FRD,AX223733,ISP,ISP,FEB,5,0,0,12/1/2022,FY60,12/1/2022
BU,AX811338,FRD,ES,ZPRO,0,0.87,0,1/1/2019,FY56,1/1/2019
BU,AX811180,FRD,ES,PE2,25,0,0,1/1/2019,FY56,1/1/2019
BU,AX811181,FKL,CT,PT,0,0.41,0,1/1/2019,FY56,1/1/2019
BU,AX811363,FKL,CT,PT,0,2.61,0,1/1/2019,FY56,1/1/2019
BU,AX810519,FEB,FID,FTCA,0,1.98,0,1/1/2019,FY56,1/1/2019
FRD,AX300024,ISP,ISP,FEB,8.36,0,0,1/1/2023,FY60,1/1/2023
BU,AX902220,FTS,ES,PT,3,0,0,2/1/2019,FY56,2/1/2019
BU,AX902125,FRD,ES,PE2,8,0,0,2/1/2019,FY56,2/1/2019
BU,AX902124,FRD,ES,PE2,6,0,0,2/1/2019,FY56,2/1/2019
BU,AX902093,FKL,FPS,PT,4,0,0,2/1/2019,FY56,2/1/2019
BU,AX901692,FRD,ES,ZPRO,3,2.03,0,2/1/2019,FY56,2/1/2019
BU,AX901084,FKL,CT,PT,2,3.57,0,2/1/2019,FY56,2/1/2019
