tmp_lot_id,lot_turns,EUV_3300,EUV_3400,year,jpn_ytd,tmp_lot_id,,,,,,,
AX002635,325,0,40.17,2018-12-01,FY56,AX914446,,,,,,,
AX121328,4,0,0,2019-01-01,FY56,AX201800,,,,,,,
AX319441,1,0,0,2019-01-01,FY56,AX001857,,,,,,,
AX907812,11,0,1.19,2022-01-01,FY59,AX218833,,,,,,,
AX008680,7,0,0,2022-09-01,FY60,AX109446,,,,,,,
AX319440,4,0,0,2019-01-01,FY56,AX007811,,,,,,,
AX332812,7,0,0,2022-09-01,FY60,AX907782,,,,,,,
AX409220,5,0,0,2019-01-01,FY56,AX000630,,,,,,,
AX907891,8.36,0,0,2022-10-01,FY60,AX101588,,,,,,,
AX908607,8.36,0,0,2022-11-01,FY60,AX322471,,,,,,,
AX115240,3,0,0,2019-01-01,FY56,AX364733,,,,,,,
AX104991,0,11.03,0,2019-01-01,FY56,AX419989,,,,,,,
AX214093,4,0,0,2022-12-01,FY60,AX005288,,,,,,,
AX214094,35,0,0,2019-01-01,FY56,AX011294,,,,,,,
AX216589,3,0,0,2019-01-01,FY56,AX124919,,,,,,,
AX001264,5,3.71,0,2019-01-01,FY56,AX010246,,,,,,,
AX315794,5,0,0,2022-12-01,FY60,AX224105,,,,,,,
AX405966,0,0.87,0,2019-01-01,FY56,AX906378,,,,,,,
AX409172,25,0,0,2019-01-01,FY56,AX913089,,,,,,,
AX444648,0,0.41,0,2019-01-01,FY56,AX000999,,,,,,,
AX008679,0,2.61,0,2019-01-01,FY56,AX001717,,,,,,,
AX911918,0,1.98,0,2019-01-01,FY56,AX001716,,,,,,,
AX224401,8.36,0,0,2023-01-01,FY60,AX005536,,,,,,,
AX231341,3,0,0,2019-02-01,FY56,AX005287,,,,,,,
AX902093,8,0,0,2019-02-01,FY56,AX007591,,,,,,,
AX902154,6,0,0,2019-02-01,FY56,AX008703,,,,,,,
AX904946,4,0,0,2019-02-01,FY56,AX014783,,,,,,,
AX904945,3,2.03,0,2019-02-01,FY56,AX108993,,,,,,,
AX904901,2,3.57,0,2019-02-01,FY56,AX109124,,,,,,,
AX907555,9,0,0,2019-02-01,FY56,AX107765,,,,,,,
AX907814,8.36,0,0,2023-01-01,FY60,AX012630,,,,,,,
AX907558,5,0,0,2023-02-01,FY60,AX012629,,,,,,,
AX909385,6,0,0,2019-02-01,FY56,AX012631,,,,,,,
AX911919,2,0,0,2019-02-01,FY56,AX014248,,,,,,,
AX913416,18,0,0,2019-02-01,FY56,AX102156,,,,,,,
AX913417,0,1.33,0,2019-02-01,FY56,AX901180,,,,,,,
AX000671,5,0,0,2023-02-01,FY60,AX808199,,,,,,,
AX000670,13.36,0,0,2023-02-01,FY60,AX001575,,,,,,,
AX000672,1,0,0,2019-02-01,FY56,AX000448,,,,,,,
AX000673,0,9.73,0,2019-02-01,FY56,AX000449,,,,,,,
AX914446,1,0,0,2019-02-01,FY56,AX001443,,,,,,,
AX001659,9,0,0,2019-02-01,FY56,AX001855,,,,,,,
AX001653,1,0,0,2023-02-01,FY60,AX348422,,,,,,,
AX000674,1,0,0,2019-03-01,FY56,AE908190,,,,,,,
AX001660,18,0,0,2019-03-01,FY56,AX811661,,,,,,,
AX001658,5,0,0,2019-03-01,FY56,AX004458,,,,,,,
AX001657,14,0,0,2019-03-01,FY56,AX004868,,,,,,,
AX001655,1,0,0,2023-03-01,FY60,AX008811,,,,,,,
AX001656,0,0.31,0,2019-03-01,FY56,AX008058,,,,,,,
AX001654,0,0.35,0,2019-03-01,FY56,AX010827,,,,,,,
AX100446,3,0,0,2023-03-01,FY60,AX014779,,,,,,,
AX100445,7,0,0,2019-03-01,FY56,AX103407,,,,,,,
AX100447,8,0,0,2019-03-01,FY56,AX809123,,,,,,,
AX100448,7,0,0,2019-03-01,FY56,AX202000,,,,,,,
AX102477,1,0,0,2023-03-01,FY60,AX202100,,,,,,,
AX102478,5,1.71,0,2019-03-01,FY56,AX218309,,,,,,,
AX100450,1,0,0,2019-03-01,FY56,AE906277,,,,,,,
AX100449,5,0,0,2019-03-01,FY56,AE906276,,,,,,,
AX102479,3,0.85,0,2019-03-01,FY56,AX230827,,,,,,,
AX109136,2,1.73,0,2019-03-01,FY56,AX908068,,,,,,,
AX109139,16,0,0,2019-03-01,FY56,AX231641,,,,,,,
AX115285,30,0,0,2019-03-01,FY56,AX006811,,,,,,,
AX109141,5,0,0,2019-03-01,FY56,AX008810,,,,,,,
AX112930,0,1.19,0,2019-03-01,FY56,AX100513,,,,,,,
AX201247,11,0,0,2019-03-01,FY56,AX000331,,,,,,,
AX201246,1,0,0,2019-03-01,FY56,AX905844,,,,,,,
AX211893,1,0,0,2019-03-01,FY56,AX906188,,,,,,,
AX220523,3,0,0,2023-03-01,FY60,AX913860,,,,,,,
AX225954,2,0,0,2019-03-01,FY56,AX900753,,,,,,,
AX115675,5,0,0,2019-03-01,FY56,AX004604,,,,,,,
AX323501,2,0.72,0,2019-03-01,FY56,AX009724,,,,,,,
AX323502,1,0,0,2019-03-01,FY56,AX013922,,,,,,,
AX907894,2,0,0,2019-03-01,FY56,AX115667,,,,,,,
AX908507,2,0,0,2023-04-01,FY61,AX000206,,,,,,,
AX000675,0,0.89,0,2019-03-01,FY56,AX004781,,,,,,,
AX001661,0,2.77,0,2019-03-01,FY56,AX005744,,,,,,,
AX001662,2,0,0,2019-03-01,FY56,AX006905,,,,,,,
AX109137,0,0.42,0,2019-03-01,FY56,AX014130,,,,,,,
AX109138,8.36,0,0,2023-04-01,FY61,AX002998,,,,,,,
AX116271,13,0,0,2019-04-01,FY57,AX007171,,,,,,,
AX124541,2,0,0,2023-04-01,FY61,AX914046,,,,,,,
AX125329,11.36,0,0,2023-04-01,FY61,AX000183,,,,,,,
AX203598,2,0,0,2019-04-01,FY57,AX005535,,,,,,,
AX212649,8,0,0,2019-04-01,FY57,AX005370,,,,,,,
AX212648,25,0,0,2019-04-01,FY57,AX005371,,,,,,,
AX211894,3,0,0,2019-04-01,FY57,AX008740,,,,,,,
AX215813,3,1.1,0,2019-04-01,FY57,AX011667,,,,,,,
AX215814,3,0.23,0,2019-04-01,FY57,AX012145,,,,,,,
AX220524,3,0.98,0,2019-04-01,FY57,AX014784,,,,,,,
AX225956,7,0,0,2019-04-01,FY57,AX014049,,,,,,,
AX225953,3,0,0,2023-05-01,FY61,AX015477,,,,,,,
AX225957,6,0,0,2019-04-01,FY57,AX101990,,,,,,,
AX225955,17,0,0,2019-04-01,FY57,AX105529,,,,,,,
AX231345,7,0,0,2019-04-01,FY57,AX115666,,,,,,,
AX231344,5,1.46,0,2019-04-01,FY57,AX124535,,,,,,,
AX231343,0,3.68,0,2019-04-01,FY57,AX107764,,,,,,,
AX231342,1,0,0,2023-05-01,FY61,AX103392,,,,,,,
AX316450,8.36,0,0,2023-06-01,FY61,AX007105,,,,,,,
AX316448,2,0.84,0,2019-04-01,FY57,AX903418,,,,,,,
AX316447,0,7.51,0,2019-04-01,FY57,AX913943,,,,,,,
AX316449,1,0,0,2019-04-01,FY57,AX913164,,,,,,,
AX316454,1,0.7,0,2019-04-01,FY57,AX914522,,,,,,,
AX316452,4,1.21,0,2019-04-01,FY57,AX001001,,,,,,,
AX316453,4,0,0,2019-04-01,FY57,AX810519,,,,,,,
AX316451,1,0,0,2019-04-01,FY57,AX809592,,,,,,,
AX316446,8,0,0,2019-04-01,FY57,AX906195,,,,,,,
AX349275,3,0,0,2019-04-01,FY57,AX913121,,,,,,,
AX349274,2,0,0,2019-04-01,FY57,AX001843,,,,,,,
AX349273,6,0,0,2019-04-01,FY57,AX008845,,,,,,,
AX349272,2,0,0,2019-04-01,FY57,AX011663,,,,,,,
AX349270,7,0,0,2019-04-01,FY57,AX012120,,,,,,,
AX349269,1,0,0,2023-06-01,FY61,AX013843,,,,,,,
AX349268,3,0,0,2019-04-01,FY57,AX013923,,,,,,,
AX349267,3,0,0,2019-05-01,FY57,AX014782,,,,,,,
AX349266,1,0,0,2023-06-01,FY61,AX101112,,,,,,,
AX361061,1,0,0,2019-05-01,FY57,AX102238,,,,,,,
AX422514,5,0,0,2019-05-01,FY57,AX114454,,,,,,,
AX422516,2,0,0,2019-05-01,FY57,AX121353,,,,,,,
AX422517,4,0,0,2019-05-01,FY57,AX319441,,,,,,,
AX422518,7,0,0,2019-05-01,FY57,AX008680,,,,,,,
AX422519,1,0,0,2023-06-01,FY61,AX319440,,,,,,,
AX422513,11,0,0,2019-05-01,FY57,AX332812,,,,,,,
AX422515,7,0,0,2019-05-01,FY57,AX409220,,,,,,,
AX422521,2,0,0,2023-06-01,FY61,AX907891,,,,,,,
AX422520,1,1.72,0,2019-05-01,FY57,AX908607,,,,,,,
AX910786,8,0,0,2019-05-01,FY57,AX115240,,,,,,,
AX123884,0,1.2,0,2019-05-01,FY57,AX104991,,,,,,,
AX203599,11,0,0,2019-05-01,FY57,AX214093,,,,,,,
AX006911,4,0,0,2019-05-01,FY57,AX214094,,,,,,,
AX012652,8.36,0,0,2023-06-01,FY61,AX216589,,,,,,,
AX014129,4,0,0,2019-05-01,FY57,AX008679,,,,,,,
AX101954,0,0.11,0,2019-05-01,FY57,AX911918,,,,,,,
AX105030,0,0.11,0,2019-05-01,FY57,AX224401,,,,,,,
AX117547,2,0,0,2019-05-01,FY57,AX231341,,,,,,,
AX907789,11,0,0,2019-05-01,FY57,AX902093,,,,,,,
AX201800,0,0.23,0,2019-05-01,FY57,AX902154,,,,,,,
AX913055,0,0.85,0,2019-05-01,FY57,AX904946,,,,,,,
AX907953,2,0,0,2019-05-01,FY57,AX904945,,,,,,,
AX909749,7,0,0,2019-05-01,FY57,AX904901,,,,,,,
